,Endothelial cell,Smooth muscle cell
AC005224.2,0.01597444089456869,0.0
AC005235.1,0.0,0.0
AC005237.4,0.0,0.0
AC005253.2,0.14643237486687966,0.14540167211922936
AC005253.4,0.0026624068157614484,0.0
AC005256.1,0.0,0.0
AC005262.2,0.0,0.0
AC005264.2,0.042598509052183174,0.0
AC005276.1,0.0,0.10905125408942203
AC005281.1,0.0,0.0
AC005281.2,0.0,0.0
AC005301.8,0.0,0.0
AC005304.1,0.0,0.0
AC005306.3,0.0,0.0
AC005307.1,0.005324813631522897,0.0
AC005307.3,0.0,0.0
AC005324.6,0.0,0.0
AC005329.7,0.013312034078807242,0.07270083605961468
AC005330.2,0.0,0.0
AC005339.2,0.026624068157614485,0.07270083605961468
AC005355.1,0.0,0.0
AC005355.2,0.045260915867944625,0.0
AC005358.3,0.0,0.0
AC005363.11,0.10117145899893504,0.10905125408942203
AC005387.2,0.0,0.0
AC005387.3,0.0,0.0
AC005477.1,0.021299254526091587,0.7997091966557616
AC005480.1,0.023961661341853034,0.1817520901490367
AC005481.5,0.0,0.0
AC005487.2,0.0,0.0
AC005498.3,0.06389776357827476,0.3635041802980734
AC005498.4,0.0026624068157614484,0.0
AC005518.2,0.0,0.0
AC005519.4,0.0026624068157614484,0.0
AC005522.7,0.0,0.0
AC005523.2,0.045260915867944625,0.3271537622682661
AC005523.3,0.01863684771033014,0.03635041802980734
AC005532.5,0.0,0.0
AC005534.8,0.0026624068157614484,0.0
AC005537.2,0.005324813631522897,0.03635041802980734
AC005540.3,0.010649627263045794,0.0
AC005546.2,0.0,0.0
AC005550.3,0.005324813631522897,0.0
AC005562.1,0.007987220447284345,0.0
AC005592.1,0.0026624068157614484,0.0
AC005592.2,0.03194888178913738,0.03635041802980734
AC005592.3,0.0026624068157614484,0.0
AC005597.1,0.0,0.0
AC005606.14,0.0,0.0
AC005606.15,0.0,0.0
AC005609.1,0.0,0.0
AC005609.16,0.0,0.0
AC005609.17,0.0,0.0
AC005609.18,0.0,0.0
AC005609.20,0.0026624068157614484,0.0
AC005614.3,0.01597444089456869,0.07270083605961468
AC005616.1,0.0,0.0
AC005616.2,0.026624068157614485,0.0
AC005618.6,0.01863684771033014,0.3271537622682661
AC005618.9,0.0,0.0
AC005624.2,0.0,0.0
AC005625.1,0.0026624068157614484,0.0
AC005703.2,0.0,0.0
AC005703.3,0.0,0.0
AC005740.5,0.0,0.0
AC005740.6,0.005324813631522897,0.0
AC005754.7,0.0,0.0
AC005754.8,0.010649627263045794,0.03635041802980734
AC005757.6,0.0,0.0
AC005775.2,0.0,0.0
AC005779.2,0.0026624068157614484,0.0
AC005780.1,0.0,0.0
AC005786.5,0.0026624068157614484,0.0
AC005786.7,0.0026624068157614484,0.0
AC005789.11,0.0026624068157614484,0.0
AC005808.3,0.0,0.0
AC005863.1,0.0,0.0
AC005932.1,0.010649627263045794,0.0
AC005943.4,0.0,0.0
AC005943.5,0.0,0.0
AC005944.2,0.03461128860489883,0.10905125408942203
AC005954.4,0.007987220447284345,0.0
AC006004.1,0.0,0.0
AC006019.4,0.0,0.0
AC006026.2,0.0,0.0
AC006041.1,0.0,0.0
AC006042.6,0.0,0.0
AC006042.7,0.0,0.0
AC006115.3,0.0,0.0
AC006116.12,0.0026624068157614484,0.0
AC006116.15,0.0,0.0
AC006116.17,0.026624068157614485,0.10905125408942203
AC006116.21,0.0,0.0
AC006126.3,0.0026624068157614484,0.0
AC006126.4,0.0026624068157614484,0.0
AC006129.1,0.013312034078807242,0.0
AC006129.2,0.09850905218317359,0.14540167211922936
AC006145.4,0.0,0.0
AC006159.4,0.0,0.07270083605961468
AC006159.5,0.0,0.0
AC006160.5,0.029286474973375932,0.03635041802980734
AC006227.1,0.0,0.0
AC006262.10,0.0,0.0
AC006262.4,0.0,0.0
AC006262.5,0.0,0.03635041802980734
AC006262.6,0.0,0.0
AC006272.1,0.0,0.0
AC006272.2,0.0,0.0
AC006273.4,0.03727369542066028,0.14540167211922936
AC006273.5,0.05324813631522897,0.0
AC006273.7,0.0,0.0
AC006277.2,0.01863684771033014,0.03635041802980734
AC006296.1,0.0,0.0
AC006296.2,0.0,0.0
AC006369.2,0.010649627263045794,0.0
AC006369.3,0.0,0.0
AC006372.4,0.0,0.0
AC006372.5,0.0,0.0
AC006372.6,0.0,0.0
AC006373.1,0.0,0.0
AC006378.2,0.0,0.0
AC006380.3,0.0,0.0
AC006449.2,0.0,0.0
AC006460.2,0.0,0.0
AC006480.1,0.0,0.0
AC006482.1,0.0026624068157614484,0.0
AC006486.1,0.0,0.0
AC006486.9,0.0,0.0
AC006538.1,0.0,0.0
AC006547.13,0.0,0.0
AC006547.15,0.007987220447284345,0.03635041802980734
AC006547.8,0.0,0.0
AC006552.1,0.0,0.0
AC006942.4,0.14110756123535675,0.7270083605961468
AC006946.15,0.0,0.0
AC006946.16,0.0026624068157614484,0.0
AC006946.17,0.0,0.0
AC006994.2,0.11182108626198083,0.10905125408942203
AC006994.3,0.0,0.0
AC007009.1,0.04792332268370607,0.03635041802980734
AC007036.4,0.0,0.0
AC007036.6,0.0026624068157614484,0.0
AC007038.7,0.03461128860489883,0.07270083605961468
AC007040.11,0.010649627263045794,0.03635041802980734
AC007040.6,0.0,0.0
AC007040.8,0.0,0.0
AC007050.17,0.0,0.0
AC007064.24,0.0,0.0
AC007078.4,0.0,0.0
AC007091.1,0.0,0.0
AC007098.1,0.0,0.0
AC007099.1,0.0,0.0
AC007126.1,0.0,0.0
AC007128.1,0.0,0.0
AC007131.1,0.0,0.0
AC007131.2,0.0,0.0
AC007161.5,0.010649627263045794,0.07270083605961468
AC007163.3,0.0,0.0
AC007163.6,0.0026624068157614484,0.0
AC007182.6,0.010649627263045794,0.03635041802980734
AC007192.4,0.0,0.0
AC007192.6,0.0,0.0
AC007193.10,0.007987220447284345,0.0
AC007193.8,0.0,0.0
AC007193.9,0.0,0.0
AC007204.2,0.0,0.0
AC007228.11,0.07188498402555911,0.03635041802980734
AC007228.5,0.0,0.03635041802980734
AC007228.9,0.18903088391906284,1.6721192293711378
AC007246.3,0.6656017039403621,3.8531443111595785
AC007249.3,0.0,0.0
AC007250.4,0.0,0.0
AC007255.8,0.0,0.0
AC007271.3,0.0,0.0
AC007277.3,0.0,0.0
AC007285.6,0.0,0.0
AC007292.3,0.13045793397231098,0.0
AC007292.4,0.01597444089456869,0.0
AC007292.6,0.007987220447284345,0.0
AC007292.7,0.0,0.0
AC007308.6,0.0,0.0
AC007308.7,0.0,0.0
AC007319.1,0.03461128860489883,0.10905125408942203
AC007325.1,0.0,0.0
AC007325.2,0.026624068157614485,0.03635041802980734
AC007325.4,0.4925452609158679,1.708469647400945
AC007326.10,0.0,0.0
AC007349.4,0.0,0.0
AC007349.5,0.0,0.0
AC007349.7,0.0,0.0
