,surfaceome_genes
6318,STXBP5L
6319,SULF2
6320,SYN2
6321,TAB3
6322,TAOK3
6323,TBC1D3B
6324,TBC1D3C
6325,TDGF1P3
6326,TDP1
6327,TJAP1
6328,TLN2
6329,TMEM100
6330,TMEM127
6331,TMEM258
6332,TNK1
6333,TNS2
6334,TPTE
6335,TRAC
6336,TRADD
6337,TRAF1
6338,TRAF3
6339,TRAF4
6340,TRAJ3
6341,TRAJ31
6342,TRAJ42
6343,TRAV1-1
6344,TRAV1-2
6345,TRAV10
6346,TRAV12-1
6347,TRAV12-2
6348,TRAV12-3
6349,TRAV13-1
6350,TRAV13-2
6351,TRAV14DV4
6352,TRAV16
6353,TRAV17
6354,TRAV18
6355,TRAV19
6356,TRAV2
6357,TRAV20
6358,TRAV21
6359,TRAV22
6360,TRAV23DV6
6361,TRAV24
6362,TRAV25
6363,TRAV26-1
6364,TRAV26-2
6365,TRAV27
6366,TRAV29DV5
6367,TRAV3
6368,TRAV30
6369,TRAV34
6370,TRAV36DV7
6371,TRAV38-1
6372,TRAV38-2DV8
6373,TRAV39
6374,TRAV4
6375,TRAV40
6376,TRAV41
6377,TRAV5
6378,TRAV6
6379,TRAV7
6380,TRAV8-1
6381,TRAV8-2
6382,TRAV8-3
6383,TRAV8-4
6384,TRAV8-6
6385,TRAV9-1
6386,TRAV9-2
6387,TRBD1
6388,TRBJ1-1
6389,TRBJ1-2
6390,TRBJ1-3
6391,TRBJ1-4
6392,TRBJ1-5
6393,TRBJ1-6
6394,TRBJ2-1
6395,TRBJ2-3
6396,TRBJ2-7
6397,TRBV10-1
6398,TRBV10-2
6399,TRBV10-3
6400,TRBV11-1
6401,TRBV11-3
6402,TRBV12-3
6403,TRBV12-4
6404,TRBV12-5
6405,TRBV13
6406,TRBV14
6407,TRBV16
6408,TRBV17
6409,TRBV18
6410,TRBV19
6411,TRBV2
6412,TRBV20-1
6413,TRBV23-1
6414,TRBV24-1
6415,TRBV25-1
6416,TRBV27
6417,TRBV28
6418,TRBV29-1
6419,TRBV3-1
6420,TRBV30
6421,TRBV4-1
6422,TRBV4-2
6423,TRBV5-1
6424,TRBV5-3
6425,TRBV5-4
6426,TRBV5-5
6427,TRBV5-6
6428,TRBV5-7
6429,TRBV6-1
6430,TRBV6-2
6431,TRBV6-4
6432,TRBV6-5
6433,TRBV6-6
6434,TRBV6-7
6435,TRBV6-8
6436,TRBV7-1
6437,TRBV7-2
6438,TRBV7-3
6439,TRBV7-4
6440,TRBV7-6
6441,TRBV7-7
6442,TRBV7-9
6443,TRBV9
6444,TRDD1
6445,TRDJ1
6446,TRDV1
6447,TRDV2
6448,TRDV3
6449,TRGJ1
6450,TRPA1
6451,TTN
6452,UBE2C
6453,UBL3
6454,UBQLN1
6455,WHRN
6456,WNK1
6457,WNK4
6458,WWTR1
6459,XBP1
6460,XG
6461,YWHAH
6462,ZBTB33
6463,ZMYND19
6464,DNAAF4
6465,DNAJA4
6466,HSPB1
6467,LPIN2
6468,NCOA1
6469,NFE2L2
6470,PLS3
6471,CCDC107
6472,CTSF
6473,DXO
6474,LRAT
6475,SC5D
6476,SDE2
6477,UNC5CL
6478,GNB3
6479,HOMER3
6480,POU2F3
6481,TNKS1BP1
6482,TRAF7
6483,ARHGEF5
6484,C12orf73
6485,EIF5AL1
6486,ENAH
6487,GLO1
6488,GPBP1
6489,HAUS7
6490,HS6ST3
6491,RASAL1
6492,RPGRIP1L
6493,TOPBP1
6494,ZYX
6495,CAMK2A
6496,CAST
6497,ENSG00000256500
6498,PPFIBP1
6499,TTLL5
6500,DENND5A
6501,ENSG00000251537
6502,NFX1
6503,SLC38A7
6504,SYNPO
6505,SYVN1
6506,TRIM16
6507,AHNAK2
6508,ARL14EP
6509,ENSG00000290147
6510,GAS7
6511,GUCA1A
6512,NUBPL
6513,ADH1A
6514,ADH1B
6515,ADH1C
6516,ADH7
6517,ADRM1
6518,AKAP11
6519,ARHGEF40
6520,ARL13A
6521,ASPM
6522,AXIN2
6523,BICD2
6524,BRPF1
6525,C8G
6526,CCDC8
6527,CFAP418
6528,CORO1B
6529,COX6B2
6530,CRLF3
6531,DFFA
6532,FILIP1
6533,FLAD1
6534,GAS8
6535,GBF1
6536,GGTA1
6537,HERPUD1
6538,HYLS1
6539,KLF9
6540,LRRC45
6541,LRRC7
6542,LZTS2
6543,METAP2
6544,MICAL1
6545,MPHOSPH9
6546,NPTXR
6547,PAWR
6548,PLCB2
6549,S100A13
6550,SCHIP1
6551,STAT2
6552,TBC1D2
6553,TES
6554,TMCO5A
6555,USP21
6556,WDR11
6557,ZNF397
6558,ACP4
6559,ARHGAP33
6560,C19orf33
6561,CCDC115
6562,CCNT2
6563,CYBC1
6564,DIS3L
6565,ENSG00000265118
6566,FBP2
6567,FRMD3
6568,FRMD7
6569,GALNT10
6570,GIPC1
6571,HCFC2
6572,HIF3A
6573,IL16
6574,KLHL7
6575,KNSTRN
6576,KNTC1
6577,KPTN
6578,MICAL3
6579,MPHOSPH8
6580,MYLK
6581,NUS1
6582,OLFM4
6583,PKD2L2
6584,SPTLC2
6585,SUCLG2
6586,TCIM
6587,WDR13
6588,XPO6
6589,ACTN4
6590,BCL3
6591,BCORL1
6592,CARD14
6593,CCDC22
6594,CEBPE
6595,CFAP410
6596,CPNE9
6597,DHDDS
6598,EPN2
6599,FHIT
6600,GALNT12
6601,GM2A
6602,GMIP
6603,GRAP2
6604,HINT1
6605,HPS4
6606,LAIR2
6607,LCTL
6608,LGALS4
6609,LLGL2
6610,MFSD1
6611,MUC5B
6612,MYO1F
6613,OBSL1
6614,PAPLN
6615,PITPNM3
6616,PLCB1
6617,PLS1
6618,PRKG1
6619,RGL4
6620,SCUBE3
6621,SPESP1
6622,SPRR1B
6623,SQSTM1
6624,STK17A
6625,STON1
6626,TENT4B
6627,TSHZ3
6628,UQCC1
6629,XYLT1
6630,ARID4A
6631,FILIP1L
6632,GFI1B
6633,PRC1
6634,SAMHD1
6635,UTP20
6636,ACIN1
6637,CDCA4
6638,CDK7
6639,CPEB3
6640,ETS2
6641,FAM209A
6642,GAS2
6643,LNX2
6644,PTPN22
6645,RASSF2
6646,S100A3
6647,ANKRA2
6648,ANKS1B
6649,EVA1B
6650,S100A16
6651,ADK
6652,ARHGAP18
6653,ARID1B
6654,ATG13
6655,C4B
6656,CASP7
6657,EIF5A
6658,ENTREP3
6659,FABP2
6660,GRK3
6661,LDB2
6662,PAFAH1B2
6663,PDAP1
6664,PHPT1
6665,PIGX
6666,PIP4K2C
6667,POLE
6668,PPP1R12A
6669,RPL36A
6670,RPL36A-HNRNPH2
6671,RPL36AL
6672,SOX11
6673,TACC2
6674,TDG
6675,TRIM4
6676,TRMT10B
6677,USH1C
6678,WDR6
6679,TMEM218
6680,TNS1
6681,CFB
6682,FCN3
6683,HDAC3
6684,LBP
6685,PAK5
6686,PHF7
6687,SLC25A23
6688,TMEM252
6689,ABTB1
6690,ARID2
6691,CIZ1
6692,CORO2B
6693,EIF5
6694,GCNT1
6695,GLDC
6696,GRB10
6697,LIMD1
6698,NELFE
6699,NFKBIA
6700,NME1
6701,PDS5A
6702,PKDCC
6703,PLIN3
6704,PPP1R13B
6705,RRP8
6706,SRA1
6707,SURF2
6708,TMEM101
6709,TMEM222
6710,WARS2
6711,ZBTB42
6712,ZMAT3
6713,ADCK5
6714,AVEN
6715,BCL2L13
6716,C19orf38
6717,CASS4
6718,CCN2
6719,CFLAR
6720,CISH
6721,COMTD1
6722,CTXN1
6723,CUTA
6724,CWH43
6725,CYB5D2
6726,EHBP1L1
6727,FAM163B
6728,IL22RA2
6729,ING2
6730,PRRT4
6731,PXYLP1
6732,RGL3
6733,SEMA3B
6734,SH2B3
6735,SH3TC2
6736,SRR
6737,STC1
6738,TMEM268
6739,FNTA
6740,GDI2
6741,GNB4
6742,MLF2
6743,PSG1
6744,PSG11
6745,PSG3
6746,PSG4
6747,PSG5
6748,PSG6
6749,PSG7
6750,PSG8
6751,PSG9
6752,TMEM183A
6753,TMEM40
6754,TMEM61
6755,ACTL6A
6756,ACTN3
6757,AFF1
6758,AGR2
6759,AMOTL2
6760,ANXA9
6761,APBA2
6762,APBA3
6763,ARHGAP6
6764,ARHGEF16
6765,ARL11
6766,ARL2
6767,ARMH4
6768,ATP6V1G3
6769,AZGP1
6770,C10orf90
6771,C17orf99
6772,C20orf141
6773,CA11
6774,CAMK1
6775,CAPN10
6776,CARD9
6777,CBLIF
6778,CEP112
6779,CEP89
6780,CERCAM
6781,CHD1L
6782,CHRDL1
6783,CHUK
6784,CLEC19A
6785,CNRIP1
6786,COLEC10
6787,COLEC11
6788,CSNK1G3
6789,CSNK2A1
6790,CSNK2A2
6791,CSNK2B
6792,CSRP3
6793,CST3
6794,CTNND2
6795,CYP20A1
6796,DAPK1
6797,DCLK1
6798,DNAAF1
6799,DNAI2
6800,DNAL4
6801,DPYSL3
6802,EFS
6803,ELMOD3
6804,ENDOU
6805,ENSA
6806,ENSG00000249624
6807,ENSG00000267748
6808,ENSG00000267881
6809,ENSG00000271810
6810,ENSG00000272822
6811,ENSG00000278263
6812,ENSG00000281179
6813,ENSG00000285953
6814,EPPIN
6815,EPPIN-WFDC6
6816,EXO1
6817,F7
6818,FANCG
6819,FCN2
6820,FCRLA
6821,FCRLB
6822,FSCN1
6823,FSD1L
6824,GAREM1
6825,GDI1
6826,GSR
6827,H2BC11
6828,HDAC11
6829,HDLBP
6830,HELB
6831,HPGD
6832,HSD17B10
6833,HSPA1B
6834,HSPA1L
6835,HSPA6
6836,IGFBP2
6837,IGHV1OR15-1
6838,IGHV1OR15-9
6839,IGHV1OR21-1
6840,IGHV2OR16-5
6841,IGHV3OR15-7
6842,IGHV3OR16-10
6843,IGHV3OR16-12
6844,IGHV3OR16-13
6845,IGHV3OR16-17
6846,IGHV3OR16-8
6847,IGHV4OR15-8
6848,IGLL5
6849,INSC
6850,IQCJ-SCHIP1
6851,IQGAP3
6852,IRAK3
6853,ISCU
6854,ITK
6855,ITPK1
6856,JADE1
6857,JMJD6
6858,JUN
6859,KCMF1
6860,KIF21A
6861,KRT18
6862,KRT8
6863,LCP2
6864,LEMD1
6865,LGALS7
6866,LGALS7B
6867,LOXHD1
6868,LPO
6869,LY6G5B
6870,LYPLAL1
6871,LYZL4
6872,MAGEA1
6873,MAP1B
6874,MAP3K5
6875,MAP4K1
6876,MBL2
6877,MESD
6878,MTFR1
6879,MUC5AC
6880,MUC6
6881,MUC7
6882,MYO15B
6883,MYO7B
6884,NAIP
6885,NFE2
6886,NHLRC1
6887,NIN
6888,NLN
6889,NUBP1
6890,ODR4
6891,PAK3
6892,PAPPA2
6893,PCMTD1
6894,PCYOX1
6895,PDZD7
6896,PIK3R2
6897,PLCD1
6898,PMS2
6899,POLDIP2
6900,PPP1CB
6901,PREPL
6902,PREX2
6903,PRKAA1
6904,PRSS27
6905,PSG2
6906,PTPN7
6907,PTPN9
6908,PXN
6909,RAB12
6910,RAB3IL1
6911,RABGGTA
6912,RABGGTB
6913,RALGDS
6914,RAPGEF5
6915,RASA1
6916,RASGEF1A
6917,RASGEF1B
6918,RASGEF1C
6919,RASGRF1
6920,RASGRP3
6921,REG3A
6922,REM1
6923,RGL1
6924,RGL2
6925,RGS10
6926,RGS11
6927,RGS12
6928,RGS13
6929,RGS18
6930,RGS21
6931,RHPN2
6932,RNF31
6933,RNPEP
6934,ROPN1B
6935,RTKN2
6936,SAV1
6937,SEMA3G
6938,SEPTIN5
6939,SERPINE1
6940,SFTPB
6941,SGSM3
6942,SH3BP1
6943,SHC1
6944,SHROOM1
6945,SOS2
6946,SPRR2E
6947,SRMS
6948,STAMBPL1
6949,STAP2
6950,STAT3
6951,SUSD6
6952,TBC1D10B
6953,TBC1D4
6954,TBC1D8
6955,TBC1D9B
6956,TERT
6957,TGFB1I1
6958,TGM3
6959,TGM5
6960,TMEM229A
6961,TMEM254
6962,TRAF5
6963,TRBV15
6964,TRBV20OR9-2
6965,TRIB3
6966,TRPC4AP
6967,TTF1
6968,TUBA1A
6969,USP4
6970,VASH2
6971,VAV1
6972,VAV2
6973,VAV3
6974,WDR72
6975,WWOX
6976,ZBTB16
6977,ZNF366
6978,ZNF804A
6979,STXBP4
6980,TMEM52
6981,PDLIM5
6982,SCEL
6983,SPAG16
6984,CASKIN2
6985,DNAJC6
6986,MCTS1
6987,PSMC5
6988,TMEM139
6989,VPS50
6990,KLC1
6991,NUP62
6992,SIPA1
6993,ATG7
6994,MCM3AP
6995,TRIO
6996,CMTM4
6997,ADAMTS1
6998,AKT3
6999,ARHGAP29
7000,ARHGEF12
7001,ATG3
7002,BCAR3
7003,BZW2
7004,C3orf20
7005,CDC42BPA
7006,CYFIP2
7007,ETNK1
7008,GLRX
7009,GPX8
7010,HELZ
7011,LRG1
7012,MAP7D3
7013,MCF2
7014,NGEF
7015,NRSN1
7016,PALMD
7017,PGLYRP4
7018,PGS1
7019,PPP2R1B
7020,PRDX6
7021,PRKD3
7022,TMEM237
7023,VSIG4
7024,ARHGAP24
7025,C20orf173
7026,DDX6
7027,ENSG00000288520
7028,FAM205A
7029,KIF17
7030,SH3PXD2B
7031,TM2D2
7032,USP2
7033,VCPIP1
7034,ARHGAP15
7035,ASB5
7036,CAVIN3
7037,CCDC168
7038,CMTM7
7039,ENSG00000285947
7040,GTSE1
7041,KRTAP21-3
7042,LASP1
7043,LGALS8
7044,LIPJ
7045,MAMDC2
7046,MYO9A
7047,NEDD1
7048,OVCH2
7049,PCLO
7050,PDE3A
7051,PLA2G4D
7052,PLCL1
7053,PPFIBP2
7054,RCN1
7055,RHOXF2
7056,RHPN1
7057,RTL8C
7058,SENP1
7059,SMOC1
7060,SSC5D
7061,TBC1D3F
7062,TICAM1
7063,ZBED3
7064,ENSG00000285526
7065,FBXL2
7066,CNTRL
7067,CTPS1
7068,EXOC3L2
7069,KIF5A
7070,LALBA
7071,LYST
7072,PAICS
7073,PRDX3
7074,PREP
7075,SNRNP200
7076,CASP2
7077,CCDC88B
7078,FAM72A
7079,FAM72B
7080,FAM72C
7081,FAM72D
7082,PSMC6
7083,SCYL1
7084,BCL2L12
7085,PRPF19
7086,RIPK4
7087,SCRG1
7088,C1orf43
7089,CFI
7090,ERCC6L
7091,KIAA1522
7092,MYCBPAP
7093,PGLYRP2
7094,PABPC1
7095,PHGDH
7096,AFM
7097,CAD
7098,CASP3
7099,COLGALT1
7100,ENSG00000285330
7101,FBLN1
7102,LOXL1
7103,MRPS17
7104,NDRG2
7105,NLRC4
7106,OFD1
7107,PEBP4
7108,RPIA
7109,RPS5
7110,SEL1L3
7111,SND1
7112,THBS4
7113,TSBP1
7114,UBE2A
7115,VWC2
7116,AGTPBP1
7117,TP73
7118,UBA3
7119,UPF3A
7120,YOD1
7121,ARHGAP40
7122,CCBE1
7123,FGD1
7124,MAP4
7125,PYGL
7126,WDR53
7127,ZNF185
7128,ANKIB1
7129,CCDC24
7130,GCLM
7131,MAP2
7132,NHSL2
7133,PAK4
7134,RASAL2
7135,RC3H1
7136,STIP1
7137,TTC12
7138,ZNF474
7139,ADAMTS2
7140,CFL2
7141,CLUAP1
7142,IFRD1
7143,SCIN
7144,SNUPN
7145,TAOK1
7146,TIGD7
7147,ARAF
7148,ARHGEF15
7149,HUNK
7150,KRTAP25-1
7151,PDCD7
7152,PEBP1
7153,PPP1R18
7154,SAMSN1
7155,ARMH1
7156,C11orf42
7157,CCDC97
7158,CORO2A
7159,KRT77
7160,MAP2K7
7161,NAP1L2
7162,NUDCD3
7163,PCBD2
7164,PHOSPHO1
7165,S100A14
7166,TDO2
7167,TTLL13
7168,UBE2D1
7169,UBE2D2
7170,UBE2D4
7171,CCDC112
7172,CCDC81
7173,PLEKHG3
7174,PPP1R32
7175,PTPN12
7176,ALDH1L2
7177,ANKRD35
7178,APOL4
7179,CFAP299
7180,CREB5
7181,FBXO38
7182,LIN54
7183,LONRF1
7184,PDLIM1
7185,RTL4
7186,SERPINB3
7187,SPANXN4
7188,SPINK13
7189,DDX4
7190,FBLN5
7191,KMT2D
7192,NSD1
7193,SPRYD3
7194,ABI1
7195,ACOT9
7196,ACTR10
7197,ACTR6
7198,ALOXE3
7199,ANKEF1
7200,ANKRD45
7201,ARHGEF6
7202,BANK1
7203,C17orf58
7204,C1orf74
7205,C3orf38
7206,CALML5
7207,CCT3
7208,CEP76
7209,CLIP2
7210,CLUL1
7211,CSAD
7212,CUEDC1
7213,DCAF16
7214,DCUN1D2
7215,DDAH1
7216,DDIAS
7217,DIAPH3
7218,DMWD
7219,DPCD
7220,EEF1AKMT1
7221,EFCAB2
7222,EFHC1
7223,ELMO3
7224,ENKD1
7225,ENSG00000268465
7226,ENSG00000288684
7227,ETAA1
7228,EXOC3L1
7229,EYS
7230,FABP3
7231,FAIM
7232,FAM193A
7233,FAM47E
7234,FAM47E-STBD1
7235,FBXO16
7236,FBXW11
7237,FMNL2
7238,GADL1
7239,GLI1
7240,GPBP1L1
7241,HAPLN3
7242,HENMT1
7243,HSFX1
7244,HSFX2
7245,HYI
7246,IMPG1
7247,ITSN2
7248,KIAA1958
7249,KLHL5
7250,KLHL6
7251,KLK7
7252,KMT5B
7253,KRBOX5
7254,LECT2
7255,LMCD1
7256,LRRC9
7257,LRRFIP2
7258,LRRIQ3
7259,MAK
7260,MAP3K21
7261,MKLN1
7262,MKRN3
7263,MRNIP
7264,MTPN
7265,N4BP2
7266,NT5C1B
7267,NT5C1B-RDH14
7268,OSR2
7269,P3H3
7270,PAIP1
7271,PFDN1
7272,PGPEP1L
7273,PHACTR4
7274,PLAA
7275,PLEKHO2
7276,PNCK
7277,PPP1R12B
7278,PPP1R27
7279,PPP4R1
7280,PPTC7
7281,PROSER2
7282,RIMBP3
7283,RIMBP3B
7284,RIMBP3C
7285,RIOK3
7286,RNF166
7287,RNF39
7288,RSPH3
7289,RTL3
7290,SEPTIN3
7291,SH3BGR
7292,SMC2
7293,SMG6
7294,SPATC1L
7295,SSH3
7296,SUCLG1
7297,SUMF2
7298,TEKTIP1
7299,TEX14
7300,TRAIP
7301,TRIB1
7302,TRIM38
7303,TRIM54
7304,TRIM71
7305,TRIML2
7306,TRMT1
7307,TSGA13
7308,UBTD1
7309,USP20
7310,VWA5B1
7311,VWA7
7312,WDR12
7313,ZEB2
7314,ZNF10
7315,ZNF18
7316,ZNF2
7317,ZNF510
7318,ZNF598
7319,ZNF599
7320,ZNF783
7321,ZSCAN22
7322,ZSCAN29
7323,ZSWIM1
7324,ARHGAP36
7325,ARHGEF17
7326,ARHGEF26
7327,ARL9
7328,ARMCX5
7329,BCL6B
7330,BSDC1
7331,C16orf74
7332,C1orf35
7333,C22orf15
7334,C2orf73
7335,C3orf14
7336,C9orf153
7337,CCDC15
7338,CCDC69
7339,CPA4
7340,CST6
7341,DDX60L
7342,DNAH6
7343,DNAJB13
7344,EIF2B2
7345,ENSG00000258472
7346,FAM161B
7347,FBLN7
7348,FBXO41
7349,GAS2L1
7350,HMGCS1
7351,HPS3
7352,HSH2D
7353,IGKV3OR2-268
7354,INTS12
7355,JMJD4
7356,KIAA1328
7357,KIF21B
7358,KIF26A
7359,KNDC1
7360,LMOD2
7361,MAP4K5
7362,ME1
7363,MMACHC
7364,MMP10
7365,MYL4
7366,NAB1
7367,OCM
7368,OCM2
7369,PRR32
7370,PSMD9
7371,RSKR
7372,SFSWAP
7373,SLK
7374,SPATA12
7375,SRRM3
7376,SUPT6H
7377,TMED8
7378,TOR2A
7379,TPD52L1
7380,TRMT13
7381,USP53
7382,ZFP90
7383,ZNF646
7384,ZSWIM8
7385,AADAT
7386,AKR1B10
7387,AKR1B15
7388,ANKRD30BL
7389,ARHGAP22
7390,ARHGAP23
7391,ARHGAP9
7392,AVPI1
7393,BEND6
7394,BTBD18
7395,BTRC
7396,C14orf93
7397,C18orf21
7398,C1orf54
7399,C1orf68
7400,C2orf72
7401,C8orf33
7402,CAPS
7403,CCDC154
7404,CCDC28A
7405,CCN5
7406,CDRT15
7407,CFAP97D1
7408,CIAO3
7409,CRYBG3
7410,DDIT4L
7411,DENND6B
7412,DOK2
7413,DSTN
7414,DUS1L
7415,EDIL3
7416,EIF5B
7417,ELN
7418,ENC1
7419,ENSG00000241690
7420,ENSG00000264668
7421,ERMN
7422,FBRSL1
7423,FCGBP
7424,GAB1
7425,GAGE1
7426,GAGE10
7427,GAGE12C
7428,GAGE12D
7429,GAGE12E
7430,GAGE12F
7431,GAGE12G
7432,GAGE12H
7433,GAGE12J
7434,GAGE13
7435,GAGE2A
7436,GAGE2E
7437,GFOD1
7438,GUK1
7439,IFFO2
7440,KANK3
7441,KDF1
7442,KIF19
7443,KIF26B
7444,KLHDC7B
7445,KRT75
7446,LENG1
7447,LRCH2
7448,LRRC46
7449,LRRC69
7450,LUZP2
7451,MAT2B
7452,MEFV
7453,MPI
7454,NFKBID
7455,NKX2-8
7456,NPL
7457,OLIG2
7458,OPHN1
7459,OTULIN
7460,PHACTR1
7461,PHF20L1
7462,PI3
7463,PPEF1
7464,PPP1R3C
7465,PPP1R9A
7466,PTX3
7467,PXDC1
7468,PYGO2
7469,RAI2
7470,RHOXF2B
7471,RIOK2
7472,RPE
7473,RPEL1
7474,S100A2
7475,SASH3
7476,SHARPIN
7477,SIN3B
7478,SMPX
7479,SOCS5
7480,STARD4
7481,SYNC
7482,TASP1
7483,TEX13C
7484,TNNI2
7485,TOGARAM2
7486,TPRN
7487,TRIM36
7488,TTLL12
7489,TWF2
7490,TXNIP
7491,UBE2S
7492,UBR2
7493,UBXN11
7494,USP29
7495,WDR90
7496,ZBTB8OS
7497,ZFP41
7498,ZNF227
7499,ZNF337
7500,ZNF407
7501,ZNF655
7502,ZNF706
7503,ZNF79
7504,ZNF839
7505,ZNG1A
7506,ZNG1B
7507,ZNG1C
7508,ZNG1E
7509,ZNG1F
7510,ADPRHL1
7511,CAPSL
7512,CRIP2
7513,DAW1
7514,MORN3
7515,MTCP1
7516,NCKIPSD
7517,PARP6
7518,PURG
7519,RNF165
7520,RSBN1L
7521,TRAPPC13
7522,XIRP2
7523,ARPC5
7524,BBOF1
7525,C12orf60
7526,CCDC66
7527,CIB3
7528,CRIP1
7529,CRYL1
7530,CSN2
7531,DVL3
7532,EIF2B3
7533,MAP3K6
7534,MATCAP2
7535,METAP1D
7536,METTL25
7537,MLF1
7538,NCKAP5
7539,NME2
7540,NME5
7541,NUDT12
7542,PHLDB3
7543,PKIG
7544,RSPH10B
7545,RSPH10B2
7546,SHTN1
7547,SNRK
7548,SPATA2L
7549,TEX55
7550,ZNF688
7551,ACTL10
7552,ARID5B
7553,CNPY3
7554,EFCC1
7555,ERF
7556,IKZF5
7557,MYO3A
7558,PPM1F
7559,RFLNB
7560,RRM1
7561,SOCS3
7562,SPATA1
7563,TANK
7564,WBP4
7565,ZC3H7B
7566,ZNF277
7567,ZNF503
7568,ADSS2
7569,AMDHD1
7570,ANKFN1
7571,ANKRD42
7572,ASH2L
7573,ATOX1
7574,ATXN7L3
7575,BAHCC1
7576,BCDIN3D
7577,CAMSAP2
7578,CCDC59
7579,CTSV
7580,ECM2
7581,EIF4B
7582,ERCC4
7583,FAM186A
7584,FAM53A
7585,FLACC1
7586,GPCPD1
7587,HDHD5
7588,ITPKA
7589,LONRF3
7590,MCTS2
7591,METAP1
7592,MICAL2
7593,NOXRED1
7594,OTUD6A
7595,PDHX
7596,RAD52
7597,RFPL1
7598,RFPL2
7599,RFPL3
7600,SERPINB4
7601,SORBS3
7602,TMEM121B
7603,TNIP3
7604,TRIM44
7605,TYW3
7606,UBE2K
7607,WIPF1
7608,XAGE2
7609,XAGE3
7610,XIAP
7611,ZNF229
7612,ZNF276
7613,ZNF571
7614,ZNF717
7615,CNDP1
7616,DMKN
7617,DQX1
7618,FAM172A
7619,IGFBP7
7620,MYH11
7621,POGZ
7622,SOCS4
7623,SUMO2
7624,SUMO3
7625,SUMO4
7626,TPD52
7627,TRIM46
7628,ZDBF2
7629,ZIC4
7630,C1orf105
7631,CTDSPL
7632,HIC2
7633,LRRC23
7634,NANS
7635,OCIAD2
7636,PIWIL3
7637,TNNC2
7638,TRIP4
7639,TSHZ2
7640,VWCE
