,surfaceome_genes
1649,IGLON5
1650,LAMA5
1651,CALU
1652,CRTAP
1653,PRSS23
1654,CP
1655,HP
1656,IGHG1
1657,IGHG2
1658,APOH
1659,AHSG
1660,HPX
1661,APOD
1662,SERPING1
1663,GPI
1664,SERPINE2
1665,DCN
1666,LAMB1
1667,CFH
1668,CHGA
1669,ACTN1
1670,IFI30
1671,C4BPB
1672,BGN
1673,LAMA1
1674,PON1
1675,CALR
1676,LOX
1677,GRN
1678,FBN2
1679,BTD
1680,NPTX2
1681,LUM
1682,PRELP
1683,MFAP4
1684,LAMB2
1685,YBX1
1686,HSPG2
1687,LGALS3BP
1688,MFGE8
1689,ST3GAL1
1690,ST3GAL4
1691,FSTL1
1692,MMRN1
1693,MFAP5
1694,LAMB3
1695,LAMC2
1696,NID2
1697,LTBP1
1698,LAMA4
1699,LEPRE1
1700,OLFML2B
1701,PLBD1
1702,C6orf120
1703,ABI3BP
1704,SMPDL3B
1705,PXDN
1706,NELL1
1707,HMCN1
1708,SERPINI1
1709,EMILIN2
1710,MXRA5
1711,OLFML3
1712,MAN2B2
1713,LIPG
1714,EMILIN1
1715,TLL2
1716,GDF15
1717,C4BPA
1718,MMP13
1719,SERPINA3
1720,ITIH2
